Procedure_code,Procedure_description
0RGD4JZ,"Fusion of Left Temporomandibular Joint with Synthetic Substitute, Percutaneous Endoscopic Approach"
0PC44ZZ,"Extirpation of Matter from Thoracic Vertebra, Percutaneous Endoscopic Approach"
0SJJ3ZZ,"Inspection of Left Tarsal Joint, Percutaneous Approach"
0DLC0DZ,"Occlusion of Ileocecal Valve with Intraluminal Device, Open Approach"
0X990ZX,"Drainage of Left Upper Arm, Open Approach, Diagnostic"
BU091ZZ,Plain Radiography of Vagina using Low Osmolar Contrast
06B53ZZ,"Excision of Superior Mesenteric Vein, Percutaneous Approach"
09Q10ZZ,"Repair Left External Ear, Open Approach"
0DW03KZ,"Revision of Nonautologous Tissue Substitute in Upper Intestinal Tract, Percutaneous Approach"
DT11B8Z,Low Dose Rate (LDR) Brachytherapy of Ureter using Iridium 192 (Ir-192)
0N513ZZ,"Destruction of Right Frontal Bone, Percutaneous Approach"
039K30Z,"Drainage of Right Internal Carotid Artery with Drainage Device, Percutaneous Approach"
01S13ZZ,"Reposition Cervical Nerve, Percutaneous Approach"
0X983ZZ,null
0SW207Z,"Revision of Autologous Tissue Substitute in Lumbar Vertebral Disc, Open Approach"
061S0KY,"Bypass Left Lesser Saphenous Vein to Lower Vein with Nonautologous Tissue Substitute, Open Approach"
0CPS3JZ,"Removal of Synthetic Substitute from Larynx, Percutaneous Approach"
0W0F0ZZ,"Alteration of Abdominal Wall, Open Approach"
02RH48Z,"Replacement of Pulmonary Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach"
0QW337Z,"Revision of Autologous Tissue Substitute in Left Pelvic Bone, Percutaneous Approach"
0RWQ44Z,"Revision of Internal Fixation Device in Right Carpal Joint, Percutaneous Endoscopic Approach"
06510ZZ,"Destruction of Splenic Vein, Open Approach"
041049K,"Bypass Abdominal Aorta to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0W9K0ZX,null
0SPK45Z,"Removal of External Fixation Device from Right Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach"
0QHQ04Z,"Insertion of Internal Fixation Device into Right Toe Phalanx, Open Approach"
0MD74ZZ,"Extraction of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach"
0NSJ34Z,"Reposition Left Lacrimal Bone with Internal Fixation Device, Percutaneous Approach"
0RG80JJ,"Fusion of 8 or more Thoracic Vertebral Joints with Synthetic Substitute, Posterior Approach, Anterior Column, Open Approach"
06B63ZZ,"Excision of Inferior Mesenteric Vein, Percutaneous Approach"
0RWT07Z,"Revision of Autologous Tissue Substitute in Left Metacarpocarpal Joint, Open Approach"
0MNR4ZZ,"Release Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
0Q9L40Z,"Drainage of Right Tarsal with Drainage Device, Percutaneous Endoscopic Approach"
047035Z,"Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
0DPD30Z,"Removal of Drainage Device from Lower Intestinal Tract, Percutaneous Approach"
0QP507Z,"Removal of Autologous Tissue Substitute from Left Acetabulum, Open Approach"
0QSM05Z,"Reposition Left Tarsal with External Fixation Device, Open Approach"
3E0F829,"Introduction of Other Anti-infective into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
00570ZZ,"Destruction of Cerebral Hemisphere, Open Approach"
02B43ZX,"Excision of Coronary Vein, Percutaneous Approach, Diagnostic"
0HQ2XZZ,"Repair Right Ear Skin, External Approach"
06HJ4DZ,"Insertion of Intraluminal Device into Left Hypogastric Vein, Percutaneous Endoscopic Approach"
02QG3ZE,"Repair Mitral Valve created from Left Atrioventricular Valve, Percutaneous Approach"
0T130K9,"Bypass Right Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
0JH80EZ,"Insertion of Multiple Array Rechargeable Stimulator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach"
0DWD3UZ,"Revision of Feeding Device in Lower Intestinal Tract, Percutaneous Approach"
0PQH4ZZ,"Repair Right Radius, Percutaneous Endoscopic Approach"
0CS2XZZ,"Reposition Hard Palate, External Approach"
B4000ZZ,Plain Radiography of Abdominal Aorta using High Osmolar Contrast
0W9K0ZX,"Drainage of Upper Back, Open Approach, Diagnostic"
0DVK3DZ,"Restriction of Ascending Colon with Intraluminal Device, Percutaneous Approach"
DH040ZZ,Beam Radiation of Arm Skin using Photons <1 MeV
0MD00ZZ,"Extraction of Head and Neck Bursa and Ligament, Open Approach"
00PVX2Z,"Removal of Monitoring Device from Spinal Cord, External Approach"
0KB30ZZ,"Excision of Left Neck Muscle, Open Approach"
0QW904Z,"Revision of Internal Fixation Device in Left Femoral Shaft, Open Approach"
0SPH44Z,"Removal of Internal Fixation Device from Right Tarsal Joint, Percutaneous Endoscopic Approach"
0WJKXZZ,"Inspection of Upper Back, External Approach"
03LP0CZ,"Occlusion of Right Vertebral Artery with Extraluminal Device, Open Approach"
0GCB0ZZ,"Extirpation of Matter from Coccygeal Glomus, Open Approach"
0V9S30Z,"Drainage of Penis with Drainage Device, Percutaneous Approach"
0RG407J,"Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach"
0SRS03Z,"Replacement of Left Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Open Approach"
0TD04ZZ,"Extraction of Right Kidney, Percutaneous Endoscopic Approach"
03CA3Z6,"Extirpation of Matter from Left Ulnar Artery, Bifurcation, Percutaneous Approach"
0FRC47Z,"Replacement of Ampulla of Vater with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0RG647J,"Fusion of Thoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
0RUW0JZ,"Supplement Right Finger Phalangeal Joint with Synthetic Substitute, Open Approach"
037S47Z,"Dilation of Right Temporal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
0PCQ4ZZ,"Extirpation of Matter from Left Metacarpal, Percutaneous Endoscopic Approach"
02103D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach"
05HC4DZ,"Insertion of Intraluminal Device into Left Basilic Vein, Percutaneous Endoscopic Approach"
XNS,"New Technology, Bones, Reposition"
0QN34ZZ,"Release Left Pelvic Bone, Percutaneous Endoscopic Approach"
0MQ94ZZ,"Repair Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach"
0JBQ3ZX,"Excision of Right Foot Subcutaneous Tissue and Fascia, Percutaneous Approach, Diagnostic"
03190K3,"Bypass Right Ulnar Artery to Right Lower Arm Artery with Nonautologous Tissue Substitute, Open Approach"
04U047Z,"Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
03U807Z,"Supplement Left Brachial Artery with Autologous Tissue Substitute, Open Approach"
03724FZ,"Dilation of Innominate Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
08P00KZ,"Removal of Nonautologous Tissue Substitute from Right Eye, Open Approach"
09JYXZZ,"Inspection of Sinus, External Approach"
049J00Z,"Drainage of Left External Iliac Artery with Drainage Device, Open Approach"
0RH333Z,"Insertion of Infusion Device into Cervical Vertebral Disc, Percutaneous Approach"
9WB1XKZ,"Chiropractic Manipulation of Cervical Region, Mechanically Assisted"
06VN0DZ,"Restriction of Left Femoral Vein with Intraluminal Device, Open Approach"
0NBP0ZX,"Excision of Right Orbit, Open Approach, Diagnostic"
0F510ZZ,"Destruction of Right Lobe Liver, Open Approach"
02CL4ZZ,"Extirpation of Matter from Left Ventricle, Percutaneous Endoscopic Approach"
03BT0ZZ,"Excision of Left Temporal Artery, Open Approach"
2W02X3Z,Change Brace on Neck
0BBH0ZZ,"Excision of Lung Lingula, Open Approach"
04NA0ZZ,"Release Left Renal Artery, Open Approach"
CW1DSZZ,Planar Nuclear Medicine Imaging of Lower Extremity using Thallium 201 (Tl-201)
0D9A8ZZ,"Drainage of Jejunum, Via Natural or Artificial Opening Endoscopic"
0RTU0ZZ,"Resection of Right Metacarpophalangeal Joint, Open Approach"
08T8XZZ,"Resection of Right Cornea, External Approach"
04QD0ZZ,"Repair Left Common Iliac Artery, Open Approach"
0DLF3ZZ,"Occlusion of Right Large Intestine, Percutaneous Approach"
0YUQ0KZ,"Supplement Left 1st Toe with Nonautologous Tissue Substitute, Open Approach"
2W05X6Z,Change Pressure Dressing on Back
0Y680ZZ,"Detachment at Left Femoral Region, Open Approach"
0LC43ZZ,"Extirpation of Matter from Left Upper Arm Tendon, Percutaneous Approach"
CF16YZZ,Planar Nuclear Medicine Imaging of Liver and Spleen using Other Radionuclide
0D1547A,"Bypass Esophagus to Jejunum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0PTF0ZZ,"Resection of Right Humeral Shaft, Open Approach"
0PW2XJZ,"Revision of Synthetic Substitute in Left Rib, External Approach"
0NQB0ZZ,"Repair Nasal Bone, Open Approach"
0SGM37Z,"Fusion of Right Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach"
0Q9L0ZZ,"Drainage of Right Tarsal, Open Approach"
04RD4KZ,"Replacement of Left Common Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0U9730Z,null
0CCH3ZZ,"Extirpation of Matter from Left Submaxillary Gland, Percutaneous Approach"
0JNGXZZ,"Release Right Lower Arm Subcutaneous Tissue and Fascia, External Approach"
02RG0KZ,"Replacement of Mitral Valve with Nonautologous Tissue Substitute, Open Approach"
8C01X6J,Collection of Cerebrospinal Fluid from Indwelling Device in Nervous System
047L04Z,"Dilation of Left Femoral Artery with Drug-eluting Intraluminal Device, Open Approach"
0NS704Z,"Reposition Right Occipital Bone with Internal Fixation Device, Open Approach"
0KB20ZZ,"Excision of Right Neck Muscle, Open Approach"
037S4E6,"Dilation of Right Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
2W3DX2Z,Immobilization of Left Lower Arm using Cast
0PW7XJZ,"Revision of Synthetic Substitute in Right Glenoid Cavity, External Approach"
06BY0ZC,"Excision of Hemorrhoidal Plexus, Open Approach"
0TL44CZ,"Occlusion of Left Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach"
05H133Z,"Insertion of Infusion Device into Hemiazygos Vein, Percutaneous Approach"
0F9D0ZX,"Drainage of Pancreatic Duct, Open Approach, Diagnostic"
0PCJ0ZZ,"Extirpation of Matter from Left Radius, Open Approach"
0DUN8KZ,"Supplement Sigmoid Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
DB15BBZ,Low Dose Rate (LDR) Brachytherapy of Pleura using Palladium 103 (Pd-103)
4A1Z7KZ,"Monitoring of Temperature, Via Natural or Artificial Opening"
3E0BX29,"Introduction of Other Anti-infective into Ear, External Approach"
B52FYZZ,Computerized Tomography (CT Scan) of Right Pelvic (Iliac) Veins using Other Contrast
0KTL4ZZ,"Resection of Left Abdomen Muscle, Percutaneous Endoscopic Approach"
0FL90DZ,"Occlusion of Common Bile Duct with Intraluminal Device, Open Approach"
0RWS0JZ,"Revision of Synthetic Substitute in Right Metacarpocarpal Joint, Open Approach"
0DLQ8DZ,"Occlusion of Anus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0D9L3ZZ,"Drainage of Transverse Colon, Percutaneous Approach"
0JNG3ZZ,"Release Right Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach"
0D124K6,"Bypass Middle Esophagus to Stomach with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0BH18DZ,"Insertion of Intraluminal Device into Trachea, Via Natural or Artificial Opening Endoscopic"
047C37Z,"Dilation of Right Common Iliac Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
0NUK0JZ,"Supplement Right Palatine Bone with Synthetic Substitute, Open Approach"
0JU13KZ,"Supplement of Face Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach"
0R9D0ZX,"Drainage of Left Temporomandibular Joint, Open Approach, Diagnostic"
0RPL34Z,"Removal of Internal Fixation Device from Right Elbow Joint, Percutaneous Approach"
DPY4FZZ,Plaque Radiation of Sternum
0L933ZX,"Drainage of Right Upper Arm Tendon, Percutaneous Approach, Diagnostic"
3E08017,"Introduction of Other Thrombolytic into Heart, Open Approach"
047S0Z6,"Dilation of Left Posterior Tibial Artery, Bifurcation, Open Approach"
0M924ZX,"Drainage of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic"
B212Y10,"Fluoroscopy of Single Coronary Artery Bypass Graft using Other Contrast, Laser Intraoperative"
0TB64ZX,"Excision of Right Ureter, Percutaneous Endoscopic Approach, Diagnostic"
0GSL0ZZ,"Reposition Right Superior Parathyroid Gland, Open Approach"
08VY3ZZ,"Restriction of Left Lacrimal Duct, Percutaneous Approach"
B039ZZZ,Magnetic Resonance Imaging (MRI) of Sella Turcica/Pituitary Gland
00W6X2Z,"Revision of Monitoring Device in Cerebral Ventricle, External Approach"
316095,"Bypass Left Axillary Artery to Bilateral Lower Arm Artery with Autologous Venous Tissue, Open Approach"
F07L2ZZ,Coordination/Dexterity Treatment of Musculoskeletal System - Lower Back / Lower Extremity
07QG0ZZ,"Repair Left Lower Extremity Lymphatic, Open Approach"
03140J9,"Bypass Left Subclavian Artery to Right Lower Leg Artery with Synthetic Substitute, Open Approach"
0KXM4ZZ,"Transfer Perineum Muscle, Percutaneous Endoscopic Approach"
0D1M8KM,"Bypass Descending Colon to Descending Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
D7Y6FZZ,Plaque Radiation of Abdomen Lymphatics
2W0BXYZ,Change Other Device on Left Upper Arm
0S550ZZ,"Destruction of Sacrococcygeal Joint, Open Approach"
0RWV0JZ,"Revision of Synthetic Substitute in Left Metacarpophalangeal Joint, Open Approach"
0P970ZZ,"Drainage of Right Glenoid Cavity, Open Approach"
0H9U30Z,"Drainage of Left Breast with Drainage Device, Percutaneous Approach"
B22110Z,"Computerized Tomography (CT Scan) of Multiple Coronary Arteries using Low Osmolar Contrast, Unenhanced and Enhanced"
0CPS70Z,"Removal of Drainage Device from Larynx, Via Natural or Artificial Opening"
316097,"Bypass Left Axillary Artery to Left Upper Leg Artery with Autologous Venous Tissue, Open Approach"
09TP4ZZ,"Resection of Accessory Sinus, Percutaneous Endoscopic Approach"
06UM3JZ,"Supplement Right Femoral Vein with Synthetic Substitute, Percutaneous Approach"
04W,"Lower Arteries, Revision"
0RBQ0ZX,"Excision of Right Carpal Joint, Open Approach, Diagnostic"
03LM0DZ,"Occlusion of Right External Carotid Artery with Intraluminal Device, Open Approach"
0GTR0ZZ,"Resection of Parathyroid Gland, Open Approach"
0QSJXZZ,"Reposition Right Fibula, External Approach"
0RHS48Z,"Insertion of Spacer into Right Metacarpocarpal Joint, Percutaneous Endoscopic Approach"
079F4ZZ,"Drainage of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach"
04UL3KZ,"Supplement Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
08BQ3ZX,"Excision of Right Lower Eyelid, Percutaneous Approach, Diagnostic"
02RH4JZ,"Replacement of Pulmonary Valve with Synthetic Substitute, Percutaneous Endoscopic Approach"
0GCQ4ZZ,"Extirpation of Matter from Multiple Parathyroid Glands, Percutaneous Endoscopic Approach"
0HRQXJZ,"Replacement of Finger Nail with Synthetic Substitute, External Approach"
041F0AP,"Bypass Left Internal Iliac Artery to Foot Artery with Autologous Arterial Tissue, Open Approach"
0NHX04Z,"Insertion of Internal Fixation Device into Hyoid Bone, Open Approach"
03130KC,"Bypass Right Subclavian Artery to Bilateral Lower Leg Artery with Nonautologous Tissue Substitute, Open Approach"
0HRU078,"Replacement of Left Breast using Superficial Inferior Epigastric Artery Flap, Open Approach"
DT12B7Z,Low Dose Rate (LDR) Brachytherapy of Bladder using Cesium 137 (Cs-137)
0LNN4ZZ,"Release Right Lower Leg Tendon, Percutaneous Endoscopic Approach"
0PRP47Z,"Replacement of Right Metacarpal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
00943ZZ,"Drainage of Subdural Space, Percutaneous Approach"
0RPR08Z,"Removal of Spacer from Left Carpal Joint, Open Approach"
B8251ZZ,Computerized Tomography (CT Scan) of Right Eye using Low Osmolar Contrast
0Q9S00Z,"Drainage of Coccyx with Drainage Device, Open Approach"
0FB40ZX,"Excision of Gallbladder, Open Approach, Diagnostic"
0BBG0ZX,"Excision of Left Upper Lung Lobe, Open Approach, Diagnostic"
03WY4DZ,"Revision of Intraluminal Device in Upper Artery, Percutaneous Endoscopic Approach"
08R13JZ,null
02N93ZZ,"Release Chordae Tendineae, Percutaneous Approach"
0PSV34Z,"Reposition Left Finger Phalanx with Internal Fixation Device, Percutaneous Approach"
0TNB3ZZ,"Release Bladder, Percutaneous Approach"
047N4Z1,"Dilation of Left Popliteal Artery using Drug-Coated Balloon, Percutaneous Endoscopic Approach"
0G900ZZ,"Drainage of Pituitary Gland, Open Approach"
DB189BZ,High Dose Rate (HDR) Brachytherapy of Diaphragm using Palladium 103 (Pd-103)
0RPT08Z,null
0F154Z3,"Bypass Right Hepatic Duct to Duodenum, Percutaneous Endoscopic Approach"
0X3C3ZZ,"Control Bleeding in Left Elbow Region, Percutaneous Approach"
0MX94ZZ,"Transfer Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach"
0UDB8ZZ,"Extraction of Endometrium, Via Natural or Artificial Opening Endoscopic"
02PY3DZ,"Removal of Intraluminal Device from Great Vessel, Percutaneous Approach"
0KCG0ZZ,"Extirpation of Matter from Left Trunk Muscle, Open Approach"
0RG14Z0,"Fusion of Cervical Vertebral Joint, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
0X060ZZ,"Alteration of Right Upper Extremity, Open Approach"
06L10DZ,"Occlusion of Splenic Vein with Intraluminal Device, Open Approach"
B516YZZ,Fluoroscopy of Right Subclavian Vein using Other Contrast
0HPRX0Z,"Removal of Drainage Device from Toe Nail, External Approach"
0T730ZZ,"Dilation of Right Kidney Pelvis, Open Approach"
0BQ73ZZ,"Repair Left Main Bronchus, Percutaneous Approach"
B52F0ZZ,Computerized Tomography (CT Scan) of Right Pelvic (Iliac) Veins using High Osmolar Contrast
0BB44ZX,"Excision of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic"
0RGA4AJ,"Fusion of Thoracolumbar Vertebral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
0BH37GZ,"Insertion of Endobronchial Valve into Right Main Bronchus, Via Natural or Artificial Opening"
0D1B0Z4,"Bypass Ileum to Cutaneous, Open Approach"
0CBV4ZZ,null
0G5H4ZZ,"Destruction of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach"
0SWF33Z,"Revision of Infusion Device in Right Ankle Joint, Percutaneous Approach"
0U150Z5,"Bypass Right Fallopian Tube to Right Fallopian Tube, Open Approach"
04BM0ZZ,"Excision of Right Popliteal Artery, Open Approach"
039T30Z,"Drainage of Left Temporal Artery with Drainage Device, Percutaneous Approach"
0NS20ZZ,"Reposition Left Frontal Bone, Open Approach"
0Y914ZX,"Drainage of Left Buttock, Percutaneous Endoscopic Approach, Diagnostic"
0SS934Z,"Reposition Right Hip Joint with Internal Fixation Device, Percutaneous Approach"
0YUG4JZ,"Supplement Left Knee Region with Synthetic Substitute, Percutaneous Endoscopic Approach"
0SQDXZZ,"Repair Left Knee Joint, External Approach"
047C4D6,"Dilation of Right Common Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
0RSK3ZZ,"Reposition Left Shoulder Joint, Percutaneous Approach"
0C7M8ZZ,"Dilation of Pharynx, Via Natural or Artificial Opening Endoscopic"
0SHN35Z,"Insertion of External Fixation Device into Left Metatarsal-Phalangeal Joint, Percutaneous Approach"
0QSR0ZZ,"Reposition Left Toe Phalanx, Open Approach"
09Q3XZZ,"Repair Right External Auditory Canal, External Approach"
10Q03YE,"Repair Nervous System in Products of Conception with Other Device, Percutaneous Approach"
0SU90KZ,"Supplement Right Hip Joint with Nonautologous Tissue Substitute, Open Approach"
0FC24ZZ,"Extirpation of Matter from Left Lobe Liver, Percutaneous Endoscopic Approach"
0X6P0Z2,"Detachment at Left Index Finger, Mid, Open Approach"
06H53DZ,"Insertion of Intraluminal Device into Superior Mesenteric Vein, Percutaneous Approach"
0FV58DZ,"Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
317090,"Bypass Right Brachial Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach"
06VJ4DZ,"Restriction of Left Hypogastric Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
03734EZ,"Dilation of Right Subclavian Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
08RG3JZ,"Replacement of Right Retinal Vessel with Synthetic Substitute, Percutaneous Approach"
025D4ZZ,"Destruction of Papillary Muscle, Percutaneous Endoscopic Approach"
0U9730Z,"Drainage of Bilateral Fallopian Tubes with Drainage Device, Percutaneous Approach"
3E0V3TZ,"Introduction of Destructive Agent into Bones, Percutaneous Approach"
0HPPX7Z,"Removal of Autologous Tissue Substitute from Skin, External Approach"
03C84ZZ,"Extirpation of Matter from Left Brachial Artery, Percutaneous Endoscopic Approach"
B50B0ZZ,Plain Radiography of Right Lower Extremity Veins using High Osmolar Contrast
